,Params,N,n,d,Selection1,Selection2,Rho,Beta,Mean_bests_Results,Number_times_got_best_solution
1,N: 200 n: 100 s1: T s2:R d:0.8 rho:10 bheta:1,200,100,0.8,R,R,10,1,298.2,8
3,N: 200 n: 100 s1: T s2:R d:0.8 rho:10 bheta:10,200,100,0.8,R,R,10,10,297.8,7
20,N: 200 n: 100 s1: T s2:T d:0.5 rho:1 bheta:1,200,100,0.5,T,T,1,1,295.4,7
22,N: 200 n: 100 s1: T s2:T d:0.5 rho:1 bheta:10,200,100,0.5,T,T,1,10,297.2,7
7,N: 200 n: 100 s1: T s2:R d:0.5 rho:10 bheta:10,200,100,0.5,R,R,10,10,300.2,6
11,N: 200 n: 50 s1: T s2:R d:0.8 rho:10 bheta:10,200,50,0.8,R,R,10,10,300.2,6
12,N: 200 n: 50 s1: T s2:R d:0.5 rho:1 bheta:1,200,50,0.5,R,R,1,1,304.2,6
14,N: 200 n: 50 s1: T s2:R d:0.5 rho:1 bheta:10,200,50,0.5,R,R,1,10,302.2,6
15,N: 200 n: 50 s1: T s2:R d:0.5 rho:10 bheta:10,200,50,0.5,R,R,10,10,301.6,6
31,N: 200 n: 50 s1: T s2:T d:0.5 rho:10 bheta:10,200,50,0.5,T,T,10,10,303.8,6
50,N: 200 n: 100 s1: R s2:T d:0.8 rho:1 bheta:10,200,100,0.8,T,T,1,10,304.7,6
0,N: 200 n: 100 s1: T s2:R d:0.8 rho:1 bheta:1,200,100,0.8,R,R,1,1,303.9,5
2,N: 200 n: 100 s1: T s2:R d:0.8 rho:1 bheta:10,200,100,0.8,R,R,1,10,306.1,5
5,N: 200 n: 100 s1: T s2:R d:0.5 rho:10 bheta:1,200,100,0.5,R,R,10,1,308.6,5
6,N: 200 n: 100 s1: T s2:R d:0.5 rho:1 bheta:10,200,100,0.5,R,R,1,10,303.2,5
9,N: 200 n: 50 s1: T s2:R d:0.8 rho:10 bheta:1,200,50,0.8,R,R,10,1,309.0,5
17,N: 200 n: 100 s1: T s2:T d:0.8 rho:10 bheta:1,200,100,0.8,T,T,10,1,304.5,5
18,N: 200 n: 100 s1: T s2:T d:0.8 rho:1 bheta:10,200,100,0.8,T,T,1,10,303.2,5
23,N: 200 n: 100 s1: T s2:T d:0.5 rho:10 bheta:10,200,100,0.5,T,T,10,10,307.5,5
25,N: 200 n: 50 s1: T s2:T d:0.8 rho:10 bheta:1,200,50,0.8,T,T,10,1,301.8,5
26,N: 200 n: 50 s1: T s2:T d:0.8 rho:1 bheta:10,200,50,0.8,T,T,1,10,304.6,5
30,N: 200 n: 50 s1: T s2:T d:0.5 rho:1 bheta:10,200,50,0.5,T,T,1,10,303.9,5
32,N: 200 n: 100 s1: R s2:R d:0.8 rho:1 bheta:1,200,100,0.8,R,R,1,1,315.1,5
34,N: 200 n: 100 s1: R s2:R d:0.8 rho:1 bheta:10,200,100,0.8,R,R,1,10,310.9,5
36,N: 200 n: 100 s1: R s2:R d:0.5 rho:1 bheta:1,200,100,0.5,R,R,1,1,307.7,5
48,N: 200 n: 100 s1: R s2:T d:0.8 rho:1 bheta:1,200,100,0.8,T,T,1,1,310.3,5
54,N: 200 n: 100 s1: R s2:T d:0.5 rho:1 bheta:10,200,100,0.5,T,T,1,10,308.8,5
8,N: 200 n: 50 s1: T s2:R d:0.8 rho:1 bheta:1,200,50,0.8,R,R,1,1,313.1,4
10,N: 200 n: 50 s1: T s2:R d:0.8 rho:1 bheta:10,200,50,0.8,R,R,1,10,310.3,4
16,N: 200 n: 100 s1: T s2:T d:0.8 rho:1 bheta:1,200,100,0.8,T,T,1,1,310.8,4
19,N: 200 n: 100 s1: T s2:T d:0.8 rho:10 bheta:10,200,100,0.8,T,T,10,10,308.3,4
38,N: 200 n: 100 s1: R s2:R d:0.5 rho:1 bheta:10,200,100,0.5,R,R,1,10,315.5,4
40,N: 200 n: 50 s1: R s2:R d:0.8 rho:1 bheta:1,200,50,0.8,R,R,1,1,321.5,4
42,N: 200 n: 50 s1: R s2:R d:0.8 rho:1 bheta:10,200,50,0.8,R,R,1,10,314.3,4
52,N: 200 n: 100 s1: R s2:T d:0.5 rho:1 bheta:1,200,100,0.5,T,T,1,1,309.6,4
4,N: 200 n: 100 s1: T s2:R d:0.5 rho:1 bheta:1,200,100,0.5,R,R,1,1,309.0,3
13,N: 200 n: 50 s1: T s2:R d:0.5 rho:10 bheta:1,200,50,0.5,R,R,10,1,311.8,3
21,N: 200 n: 100 s1: T s2:T d:0.5 rho:10 bheta:1,200,100,0.5,T,T,10,1,311.4,3
24,N: 200 n: 50 s1: T s2:T d:0.8 rho:1 bheta:1,200,50,0.8,T,T,1,1,318.9,3
56,N: 200 n: 50 s1: R s2:T d:0.8 rho:1 bheta:1,200,50,0.8,T,T,1,1,329.6,3
62,N: 200 n: 50 s1: R s2:T d:0.5 rho:1 bheta:10,200,50,0.5,T,T,1,10,322.0,3
27,N: 200 n: 50 s1: T s2:T d:0.8 rho:10 bheta:10,200,50,0.8,T,T,10,10,308.0,2
28,N: 200 n: 50 s1: T s2:T d:0.5 rho:1 bheta:1,200,50,0.5,T,T,1,1,322.6,2
58,N: 200 n: 50 s1: R s2:T d:0.8 rho:1 bheta:10,200,50,0.8,T,T,1,10,323.3,2
60,N: 200 n: 50 s1: R s2:T d:0.5 rho:1 bheta:1,200,50,0.5,T,T,1,1,326.1,2
29,N: 200 n: 50 s1: T s2:T d:0.5 rho:10 bheta:1,200,50,0.5,T,T,10,1,317.8,1
44,N: 200 n: 50 s1: R s2:R d:0.5 rho:1 bheta:1,200,50,0.5,R,R,1,1,333.6,1
46,N: 200 n: 50 s1: R s2:R d:0.5 rho:1 bheta:10,200,50,0.5,R,R,1,10,326.0,1
33,N: 200 n: 100 s1: R s2:R d:0.8 rho:10 bheta:1,200,100,0.8,R,R,10,1,395.3,0
35,N: 200 n: 100 s1: R s2:R d:0.8 rho:10 bheta:10,200,100,0.8,R,R,10,10,353.9,0
37,N: 200 n: 100 s1: R s2:R d:0.5 rho:10 bheta:1,200,100,0.5,R,R,10,1,416.7,0
39,N: 200 n: 100 s1: R s2:R d:0.5 rho:10 bheta:10,200,100,0.5,R,R,10,10,376.5,0
41,N: 200 n: 50 s1: R s2:R d:0.8 rho:10 bheta:1,200,50,0.8,R,R,10,1,420.0,0
43,N: 200 n: 50 s1: R s2:R d:0.8 rho:10 bheta:10,200,50,0.8,R,R,10,10,380.9,0
45,N: 200 n: 50 s1: R s2:R d:0.5 rho:10 bheta:1,200,50,0.5,R,R,10,1,408.5,0
47,N: 200 n: 50 s1: R s2:R d:0.5 rho:10 bheta:10,200,50,0.5,R,R,10,10,389.5,0
49,N: 200 n: 100 s1: R s2:T d:0.8 rho:10 bheta:1,200,100,0.8,T,T,10,1,394.2,0
51,N: 200 n: 100 s1: R s2:T d:0.8 rho:10 bheta:10,200,100,0.8,T,T,10,10,357.5,0
53,N: 200 n: 100 s1: R s2:T d:0.5 rho:10 bheta:1,200,100,0.5,T,T,10,1,420.6,0
55,N: 200 n: 100 s1: R s2:T d:0.5 rho:10 bheta:10,200,100,0.5,T,T,10,10,373.2,0
